SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
250,250,s05196.dyndns.org,,,AV. JOÃO CABRAL DE MELO NETO,RUA TENENTE MINDELO,AV. JOÃO CABRAL DE MELO NETO X RUA TENENTE MINDELO,SAN MARTIN,GIT-SM 6 FASES,SINALVIDA,8,,,-8.075063,-34.930292,"-8.075063,-34.930292",NÃO,,,,,2,,1,2,,,,4,,,2,,2,,,,4.011.843.927,,04/07/2017
251,251,s05210.dyndns.org,,,AV. 17 DE AGOSTO,RUA PIAUÍ,AV. 17 DE AGOSTO X RUA PIAUÍ,MONTEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.029358,-34.925824,"-8.029358,-34.925824",SIM,,,2,04:30/23:00h,,,1,,1,,,3,,,2,  ,2,,,,4.012.686.680,3.141.352.740,17/05/1994
252,252,s05343.dyndns.org,,,RUA DOM MANOEL DA COSTA,RUA PADRE LANDIM,RUA DOM MANOEL DA COSTA X RUA PADRE LANDIM,TORRE,GIT-SM 6 FASES,SINALVIDA,8,,,-8.047935,-34.912448,"-8.047935,-34.912448",NÃO,,,,,2,,1,,1,,,2,,,2,,1,,,,7.002.612.334,3.213.870.466,10/02/2004
253 / 686,253,s05109.dyndns.org	,,,AV. CONSELHEIRO ROSA E SILVA,RUA DR. JOSE MARIA,AV. CONSELHEIRO ROSA E SILVA X RUA DR. JOSE MARIA,TAMARINEIRA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.034683,-34.902533,"-8.034683,-34.902533",SIM,,,,,,,1,,2,,,6,,,,,3,,,,4.008.166.817,71.266.680,19/04/1984
254,254,s05573.dyndns.org,,,RUA DO BOM PASTOR,RUA COMENDADOR A. DE CARVALHO,RUA DO BOM PASTOR X RUA COMENDADOR A. DE CARVALHO,ENGENHO DO MEIO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.041855,-34.938849,"-8.041855,-34.938849",NÃO,,,,,,,,1,,,,4,,,,,1,,,,7.002.611.273,3.213.870.466,20/12/2003
255,255,,,,RUA REAL DA TORRE,RUA JOSÉ BONIFÁCIO,RUA REAL DA TORRE X RUA JOSÉ BONIFÁCIO,MADALENA,DIGICON - CD200,SINALVIDA,8,,,-8.050040,-34.908300,"-8.050040,-34.908300",NÃO,,,,,0,,2,,2,,,4,,,2,,2,,,,4.011.843.927,,07/12/2021
256,256,s05333.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,EM FRENTE A MAT. BARROS LIMA,AV. NORTE MIGUEL ARRAES DE ALENCAR X EM FRENTE A MAT. BARROS LIMA,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.020638,-34.923509,"-8.020638,-34.923509",SIM,,,,,2,,1,,2,,,4,,,2,,2,,,,4.005.750.941,3.140.772.150,25/09/2003
257,257,s05623.dyndns.org,,,RUA BENFICA,RUA REAL DA TORRE,RUA BENFICA X RUA REAL DA TORRE,MADALENA,GIT-SM 6 FASES,SINALVIDA,8,,BENFICA,-8.057092,-34.909243,"-8.057092,-34.909243",NÃO,,,,,2,,,2,,,,5,,2,,,3,,,,4.011.843.927,,23/03/1982
258,258,s05057.dyndns.org,,,AV. VISCONDE DE JEQUITINHONHA,AV. ARMINDO MOURA,AV. VISCONDE DE JEQUITINHONHA X AV. ARMINDO MOURA,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.150556,-34.909229,"-8.150556,-34.909229",NÃO,1191.A0.010000004722,,,,,,,2,4,,,10,,,,,,2,,,4.005.957.970,3.121.403.594,08/05/1982
259 / 705,259,,,,AV. RECIFE,RUA SENADOR ALBERTO PASQUALINI,AV. RECIFE X RUA SENADOR ALBERTO PASQUALINI,ESTÂNCIA,DIGICON - CD200,SINALVIDA,7,,,-8.079617,-34.933912,"-8.079617,-34.933912",NÃO,,,,,,,16,2,,,,8,,14,,6,3,0,,,4.008.181.255,3.141.567.941,05/04/1990
260,260,s05298.dyndns.org,,,AV. SUL,RUA CARLOS COELHO LEAL VALENTE,AV. SUL X RUA CARLOS COELHO LEAL VALENTE,CABANGA,GIT-CSMP 10 FASES,SERTTEL,5,,AFOGADOS - AV. SUL,-8.077861,-34.897881,"-8.077861,-34.897881",SIM,,,,,,,1,,4,,,6,,,,,,,,,4.005.863.045,3.190.016.012,14/08/1982
261 / 704,261,,,,AV. RECIFE,RUA NOSSA SENHORA DE FÁTIMA,AV. RECIFE X RUA NOSSA SENHORA DE FÁTIMA,ESTÂNCIA,DIGICON - CD200,SINALVIDA,7,,,-8.082634,-34.932978,"-8.082634,-34.932978",NÃO,,,,,0,,9,2,,,,11,,10,0,,4,0,,,4.008.182.740,3.182.139.180,20/08/1990
262,262,s05685.dyndns.org,,,AV. CAXANGÁ,SAÍDA DO TERMINAL INTEGRADO DA CAXANGÁ,AV. CAXANGÁ X SAÍDA DO TERMINAL INTEGRADO DA CAXANGÁ,VÁRZEA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.031780,-34.954910,"-8.031780,-34.954910",NÃO,,,,,,,4,,,1,,7,,,,,,1,,,4.007.481.840,70.511.177,01/05/1983
263,263,s04980.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT TÚNEL DA ABOLIÇÃO (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT TÚNEL DA ABOLIÇÃO (CID/SUB),MADALENA,GIT-SM 6 FASES,SINALVIDA,9,,BENFICA,-8.056430,-34.910090,"-8.056430,-34.910090",NÃO,,,,,2,,0,,2,,,4,,,2,,2,,,,7.017.355.672,3.141.490.639,25/04/2013
264,264,s05621.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT TÚNEL DA ABOLIÇÃO (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT TÚNEL DA ABOLIÇÃO (SUB/CID),MADALENA,GIT-SM 6 FASES,SINALVIDA,9,,BENFICA,-8.056584,-34.910117,"-8.056584,-34.910117",NÃO,,,,,2,,0,,2,,,4,,2,,,2,,,,7.017.355.958,3.142.656.778,25/04/2013
265,265,s05071.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT GETÚLIO VARGAS (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT GETÚLIO VARGAS (CID/SUB),CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.050146,-34.921422,"-8.050146,-34.921422",NÃO,,,,,2,0,,0,2,,,4,,2,,,2,,,,7.020.116.549,3.191.301.004,25/04/2013
266 / 080 / 591,266,s05069.dyndns.org	,,,AV. CAXANGÁ,ESTAÇÃO BRT GETÚLIO VARGAS (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT GETÚLIO VARGAS (SUB/CID),CORDEIRO,COMPARTILHADO,SINALVIDA,9,,,-8.050299,-34.921551,"-8.050299,-34.921551",NÃO,,,,06:30/22:00h,,0,,0,2,,,4,,,2,,2,,,,,,25/04/2013
267,267,s05070.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT FORTE DO ARRAIAL (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT FORTE DO ARRAIAL (CID/SUB),CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.048130,-34.925055,"-8.048130,-34.925055",NÃO,,,2,06:00/20:30h,,0,,0,2,,,4,,,2,,2,,,,7.020.116.425,3.151.469.158,26/04/2013
268,268,s04979.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT FORTE DO ARRAIAL (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT FORTE DO ARRAIAL (SUB/CID),CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.048288,-34.925162,"-8.048288,-34.925162",NÃO,,,2,06:00/20:30h,,,0,,2,,,4,,,2,,2,,,,7.017.642.450,3.193.328.155,28/04/2013
269,269,s05593.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT BR 101 (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT BR 101 (CID/SUB),IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.038388,-34.942657,"-8.038388,-34.942657",NÃO,,,2,06:30/20:00h,,0,,0,2,,,4,,2,0,,,,,,7.042.628.055,3.211.104.979,25/04/2013
270,270,s05240.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT BR 101 (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT BR 101 (SUB/CID),IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.038523,-34.942786,"-8.038523,-34.942786",NÃO,,,2,06:30/20:00h,,0,,0,2,,,4,,2,,,,,,,7.042.628.250,3.211.104.952,20/09/2008
271,271,s05191.dyndns.org,,,AV. ENG ABDIAS DE CARVALHO,PRÓXIMO A UPA - TORRÕES (CID/SUB),AV. ENG ABDIAS DE CARVALHO X PRÓXIMO A UPA - TORRÕES (CID/SUB),TORRÕES,GIT-CSMP 10 FASES,SERTTEL,4,,ABDIAS DE CARVALHO,-8.063964,-34.935793,"-8.063964,-34.935793",NÃO,,,,,4,,1,4,0,,,8,,,4,,4,,,,4.011.843.927,,20/09/2014
272 / 295,272,s05638.dyndns.org,,,ESTRADA DO ARRAIAL,RUA GOMES COUTINHO,ESTRADA DO ARRAIAL X RUA GOMES COUTINHO,TAMARINEIRA,COMPARTILHADO,SERTTEL,1,,,-8.030389,-34.906335,"-8.030389,-34.906335",NÃO,,,,,2,,1,,1,,,3,,,2,,,,,,4.011.843.927,,16/11/2024
273 / 274,273,s05389.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT ZUMBI (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT ZUMBI (CID/SUB),ZUMBI,GIT-SM 6 FASES,SINALVIDA,9,,,-8.053311,-34.915731,"-8.053311,-34.915731",NÃO,,,,,2,,,,2,,,4,,2,0,,2,,,,7.020.116.310,3.141.468.765,20/09/2013
274 / 273,274,s05389.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT ZUMBI (SUB/CID),AV. CAXANGÁ X ESTAÇÃO BRT ZUMBI (SUB/CID),ZUMBI,COMPARTILHADO,SINALVIDA,9,,,-8.053461,-34.915814,"-8.053461,-34.915814",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,4.011.843.927,,20/09/2013
275,275,s05067.dyndns.org,,,AV. CAXANGÁ,ESTAÇÃO BRT PARQUE DO CORDEIRO (CID/SUB),AV. CAXANGÁ X ESTAÇÃO BRT PARQUE DO CORDEIRO (CID/SUB),CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.046260,-34.928452,"-8.046260,-34.928452",NÃO,,,2,06:00/20:30h,,,,,2,,,4,,2,,,2,,,,7.018.655.904,3.142.552.212,20/09/2013
276 / 310,276,s05552.dyndns.org,895505532880017578386,,AV. MAL. MASCARENHAS DE MORAIS,LADO OPOSTO A UPA DA IMBIRIBEIRA  CID/ SUB,AV. MAL. MASCARENHAS DE MORAIS X LADO OPOSTO A UPA DA IMBIRIBEIRA  CID/ SUB,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.120813,-34.914266,"-8.120813,-34.914266",SIM,,,,,2,,1,,2,,,4,,2,,,2,,,,,,17/07/2012
277 / 538,277,s05193.dyndns.org	,,,AV. ANTÔNIO DE GOES,RUA MIRANDA FALCÃO,AV. ANTÔNIO DE GOES X RUA MIRANDA FALCÃO,PINA,GIT-CSMP 10 FASES,SERTTEL,3,,ANTÔNIO DE GOES,-8.087743,-34.884504,"-8.087743,-34.884504",SIM,,,,,,,3,1,,,,5,,4,,,2,,0,2,,,27/03/1986
278,278,s05085.dyndns.org,,,PÇA. DA REPÚBLICA,RUA DO IMPERADOR,PÇA. DA REPÚBLICA X RUA DO IMPERADOR,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.061501,-34.877182,"-8.061501,-34.877182",NÃO,,,,,,,,,2,,,4,,2,,,3,,,,4.005.610.368,3.153.288.797,27/03/1986
279 / 316,279,s05203.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA ÁLVARO AMORIM,AV. MAL. MASCARENHAS DE MORAIS X RUA ÁLVARO AMORIM,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.086972,-34.907580,"-8.086972,-34.907580",SIM,,,,,,,2,,2,,,5,,,2,,2,,,,,,10/12/1982
280,280,s05574.dyndns.org,,,RUA TOMÁS GONZAGA,RUA PROF ESTEVÃO FRAN. DA COSTA,RUA TOMÁS GONZAGA X RUA PROF ESTEVÃO FRAN. DA COSTA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.048433,-34.919173,"-8.048433,-34.919173",NÃO,,,,,,,,2,,,,4,,,,,2,,,,7.002.608.574,3.204.820.383,09/09/2003
281 / 368,281,s05686.dyndns.org,,,AV. JOAQUIM RIBEIRO,RUA RIBEIRO PESSOA,AV. JOAQUIM RIBEIRO X RUA RIBEIRO PESSOA,CAXANGÁ,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.030013,-34.958002,"-8.030013,-34.958002",SIM,,,,,,,5,,1,2,,5,,,,,,2,,,4.008.276.159,3.202.419.746,20/09/1981
282,282,s05546.dyndns.org,,,RUA JERÔNIMO VILELA,RUA FRANKLIN TÁVORA,RUA JERÔNIMO VILELA X RUA FRANKLIN TÁVORA,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.028109,-34.882152,"-8.028109,-34.882152",NÃO,,,,,4,,2,4,,,,8,,4,,,4,,,,4.005.622.471,3.011.083.984,30/08/2003
283,283,s05174.dyndns.org,,,ESTRADA DO ARRAIAL,RUA PAULA BATISTA,ESTRADA DO ARRAIAL X RUA PAULA BATISTA,CASA AMARELA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.026721,-34.916176,"-8.026721,-34.916176",SIM,,,,,,,1,,3,,,5,,,,,,,1,,4.010.481.142,3.221.667.360,30/10/1982
284,284,s05694.dyndns.org,,,AV. NOSSA SENHORA DO CARMO,AV. DANTAS BARRETO,AV. NOSSA SENHORA DO CARMO X AV. DANTAS BARRETO,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.065891,-34.879036,"-8.065891,-34.879036",NÃO,,,,,,,3,1,1,,,8,,6,,,5,,,,4.005.610.996,61.048.243,16/10/1982
285,285,s04975.dyndns.org,,,RUA FALCÃO DE LACERDA,RUA 15 DE NOVEMBRO,RUA FALCÃO DE LACERDA X RUA 15 DE NOVEMBRO,TEJIPIÓ,GIT-SM 6 FASES,SINALVIDA,7,,,-8.092065,-34.961480,"-8.092065,-34.961480",NÃO,,,,06:30/20:00h,,,1,1,1,,,1,,2,,,,,2,,7.009.590.123,3.210.590.942,
286,286,s05116.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA ARQ. FERNANDO ALMEIDA,AV. MAL. MASCARENHAS DE MORAIS X RUA ARQ. FERNANDO ALMEIDA,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.088045,-34.907803,"-8.088045,-34.907803",SIM,,,,,,,1,2,2,,,9,,,,,5,,,,4.006.912.775,3.141.721.444,10/12/1982
287,287,s05216.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA MISSIONÁRIO JOEL CARLSON,AV. MAL. MASCARENHAS DE MORAIS X RUA MISSIONÁRIO JOEL CARLSON,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.096481,-34.909728,"-8.096481,-34.909728",SIM,,,2,05:00/21:00h,,,2,,4,,,7,,,2,,5,,,,4.006.912.449,3.201.777.703,15/12/1982
288,288,s05212.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA ENG. ALVARES DE SOUZA,AV. MAL. MASCARENHAS DE MORAIS X RUA ENG. ALVARES DE SOUZA,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.098453,-34.910102,"-8.098453,-34.910102",SIM,,,,,,,1,,5,,,10,,,,,5,,0,,4.006.912.287,3.205.573.770,15/12/1982
289 / 290,289,s05366.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA DR. TAVARES CORREIA,AV. MAL. MASCARENHAS DE MORAIS X RUA DR. TAVARES CORREIA,IMBIRIBEIRA,COMPARTILHADO,SERTTEL,5,,,-8.115595,-34.913309,"-8.115595,-34.913309",NÃO,,,,,2,,,2,2,,,8,,,2,,5,,,,4.006.904.144,82.988.637,26/11/2008
290 / 289,290,s05366.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAIS,RUA JORNALISTA CLEOPHAS DE OLIVEIRA,AV. MAL. MASCARENHAS DE MORAIS X RUA JORNALISTA CLEOPHAS DE OLIVEIRA,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.116233,-34.913346,"-8.116233,-34.913346",SIM,,,,,,,1,1,3,,,6,,,,,4,,0,,4.006.904.012,3.142.584.157,07/01/1983
291,291,s05325.dyndns.org,,,ESTRADA DO ARRAIAL,E/F AO COLÉGIO DOM BOSCO,ESTRADA DO ARRAIAL X E/F AO COLÉGIO DOM BOSCO,CASA AMARELA,GIT-SM 6 FASES,SERTTEL,1,FOI TRANSFERIDO O DYN s05173.dyndns.org  PARA O SEMÁFORO 360 E O DYN s05325.dyndns.org FOI COLOCADO NO 291,,-8.028431,-34.910696,"-8.028431,-34.910696",SIM,,,,,2,,2,,1,,,2,,,2,,,,,,4.005.717.553,61.254.730,19/01/1983
292,292,s05352.dyndns.org,,,AV. RUI BARBOSA,AV. DR. MALAQUIAS,AV. RUI BARBOSA X AV. DR. MALAQUIAS,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.039897,-34.904022,"-8.039897,-34.904022",SIM,,,,,,,2,,2,,,4,,,,2,1,1,,,4.005.799.746,61.422.480,19/11/1990
293,293,s05499.dyndns.org,,,RUA PINTOR ANTÔNIO DE ALBUQUERQUE,RUA HÉLIO BRANDÃO,RUA PINTOR ANTÔNIO DE ALBUQUERQUE X RUA HÉLIO BRANDÃO,VILA DO IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.107744,-34.925727,"-8.107744,-34.925727",NÃO,,,,,,,,2,,,,4,,,,,2,,,,7.022.832.373,3.182.146.136,18/07/2016
294,294,s05115.dyndns.org,,,RUA DOM BOSCO,RUA HENRIQUE DIAS,RUA DOM BOSCO X RUA HENRIQUE DIAS,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.058036,-34.894590,"-8.058036,-34.894590",NÃO,,,,,,,3,,2,,,4,,4,,,2,,,,4.007.957.942,71.107.515,22/05/2003
295 / 272,295,s05383.dyndns.org,,,ESTRADA DO ARRAIAL,RUA DESEMB. GOES CAVALCANTE,ESTRADA DO ARRAIAL X RUA DESEMB. GOES CAVALCANTE,TAMARINEIRA,GIT-CSMP 10 FASES,SERTTEL,1,s05638.dyndns.org,,-8.030112,-34.907056,"-8.030112,-34.907056",SIM,,,,,2,,3,2,,,,4,1,,2,,3,,,,4.008.173.864,3.010.029.641,23/12/1983
296,296,s05489.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA MARIA CÂNDIDA,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA MARIA CÂNDIDA,MACAXEIRA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.012567,-34.931804,"-8.012567,-34.931804",NÃO,,,,,,,,,3,,,8,,,,,2,,,,4.005.750.623,60.776.415,20/09/1990
297,297,s05271.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA GILSON M. GUIMARÃES ,AV. DOMINGOS FERREIRA X RUA GILSON M. GUIMARÃES ,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.105434,-34.889648,"-8.105434,-34.889648",SIM,1191A0010000004721,,,,,,3,1,1,,,4,,,2,,2,2,,,7.001.893.747,3.010.003.683,28/01/1984
298,298,s05655.dyndns.org,,,RUA RIBEIRO DE BRITO,RUA VISCONDE DE JEQUITINHONHA,RUA RIBEIRO DE BRITO X RUA VISCONDE DE JEQUITINHONHA,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.122987,-34.903879,"-8.122987,-34.903879",SIM,,,,,,,1,,2,,,4,,,,,,,,,4.007.957.969,71.107.434,16/05/1991
299,299,s05002.dyndns.org,,,AV. CONDE DA BOA VISTA,RUA OSVALDO CRUZ,AV. CONDE DA BOA VISTA X RUA OSVALDO CRUZ,BOA VISTA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.056664,-34.892671,"-8.056664,-34.892671",NÃO,1191.A0.010000004790,,,,,,7,3,,,,6,,8,,,2,,,,4.005.611.992,3.210.350.631,17/08/1984
300,300,s05676.dyndns.org,,,RUA SÃO MIGUEL,EM FRENTE À ESCOLA AMAURI MEDEIROS,RUA SÃO MIGUEL X EM FRENTE À ESCOLA AMAURI MEDEIROS,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,RUA DE SÃO MIGUEL,-8.080315,-34.908269,"-8.080315,-34.908269",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,7.024.326.424,3.182.139.237,14/12/2002
301,301,,,,RUA JOSÉ BONIFÁCIO,RUA VITORIANO PALHARES,RUA JOSÉ BONIFÁCIO X RUA VITORIANO PALHARES,TORRE,DIGICON - FCA,SINALVIDA,8,,,-8.043492,-34.907912,"-8.043492,-34.907912",NÃO,,,,,,,1,,1,,,3,,,,,1,,,,4.008.920.260,3.010.007.676,28/11/1995
302,302,s05335.dyndns.org,,,RUA IMPERIAL,E/F À ESCOLA JOAQUIM NABUCO,RUA IMPERIAL X E/F À ESCOLA JOAQUIM NABUCO,SÃO JOSÉ,GIT-CSMP 10 FASES,SERTTEL,5,ANTENA REMOVIDA PARA SER IMPLANTADO NO 509,AFOGADOS - AV. SUL,-8.074865,-34.891146,"-8.074865,-34.891146",NÃO,,,,,2,,1,,1,,,3,,2,,,,,,,4.006.930.056,3.241.964.247,11/02/1984
303,303,s05273.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA  JORNALISTA ADETH LEITE,AV. DOMINGOS FERREIRA X RUA  JORNALISTA ADETH LEITE,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.101935,-34.888044,"-8.101935,-34.888044",NÃO,1191A0010000004701,,,,,,0,2,,,,5,,,,,,2,,,7.001.894.280,3.212.182.396,09/08/1984
304,304,s05578.dyndns.org,,,RUA ERNESTO DE PAULA SANTOS,RUA VISCONDE DE JEQUITINHONHA,RUA ERNESTO DE PAULA SANTOS X RUA VISCONDE DE JEQUITINHONHA,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.124081,-34.903819,"-8.124081,-34.903819",SIM,,,,,,,2,,2,,,4,,,,,,,,,4.007.955.753,3.210.795.374,16/10/1990
305,305,s05354.dyndns.org,,,AV. RUI BARBOSA,RUA  SENADOR ALBERTO PAIVA,AV. RUI BARBOSA X RUA  SENADOR ALBERTO PAIVA,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.043981,-34.902188,"-8.043981,-34.902188",SIM,,,,,,,4,1,1,,,3,,,,4,2,,1,,4.006.556.618,62.566.531,17/05/1991
306,306,s04960.dyndns.org,,,ESTRADA VELHA DE ÁGUA FRIA,AV. PROF. JOSÉ DOS ANJOS,ESTRADA VELHA DE ÁGUA FRIA X AV. PROF. JOSÉ DOS ANJOS,ARRUDA,GIT-SM 6 FASES,SERTTEL,2,,,-8.026749,-34.897962,"-8.026749,-34.897962",NÃO,,,,,,,,1,4,,,11,,,,,5,,2,,7.010.335.064,3.205.603.041,10/03/1989
307,307,s05591.dyndns.org,,,AV. BEBERIBE,RUA CEL. URBANO DE SENA,AV. BEBERIBE X RUA CEL. URBANO DE SENA,ARRUDA,GIT-SM 6 FASES,SERTTEL,2,,,-8.015017,-34.890140,"-8.015017,-34.890140",NÃO,,,,,2,,2,,3,,,6,,2,,,4,,2,,4.012.290.069,3.151.371.832,24/10/1991
308,308,s05107.dyndns.org,,,RUA JOÃO LIRA,RUA DA SAUDADE,RUA JOÃO LIRA X RUA DA SAUDADE,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.056601,-34.879851,"-8.056601,-34.879851",NÃO,,,,,,,,1,1,,,5,,,,,,,,,4.010.166.395,3.170.489.356,28/11/1991
309,309,s05484.dyndns.org,,,AV. CONSELHEIRO ROSA E SILVA,E/F AO HOSPITAL DO IPSEP,AV. CONSELHEIRO ROSA E SILVA X E/F AO HOSPITAL DO IPSEP,GRAÇAS,GIT-SM 6 FASES,SERTTEL,1,,,-8.048070,-34.896830,"-8.048070,-34.896830",NÃO,,,,,2,,1,,1,,,2,,,2,,1,,,0,4.008.166.698,3.202.899.900,11/02/1984
310 / 276,310,s05552.dyndns.org	,,,AV. MAL. MASCARENHAS DE MORAIS,EM FRENTE A UPA DA IMBIRIBEIRA SUB/CID,AV. MAL. MASCARENHAS DE MORAIS X EM FRENTE A UPA DA IMBIRIBEIRA SUB/CID,IMBIRIBEIRA,COMPARTILHADO,SERTTEL,5,,,-8.120907,-34.914121,"-8.120907,-34.914121",NÃO,,,,,2,,,,4,,,9,,2,,,2,,,,7.009.543.346,3.120.326.740,12/10/2011
311,311,s05127.dyndns.org,,,AV. SUL,AV. DANTAS BARRETO,AV. SUL X AV. DANTAS BARRETO,SÃO JOSÉ,GIT-CSMP 10 FASES,SERTTEL,5,,AFOGADOS - AV. SUL,-8.073372,-34.885191,"-8.073372,-34.885191",SIM,,,,,,,2,,2,,,7,,,,,3,,,,4.005.863.444,3.154.211.836,11/02/1984
312 / 079,312,s05104.dyndns.org	,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA DA HARMONIA,AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA DA HARMONIA,CASA AMARELA,COMPARTILHADO,SERTTEL,2,,,-8.023829,-34.912528,"-8.023829,-34.912528",NÃO,,,,,,,4,,2,,,4,,4,,,2,,2,,,,02/04/1984
313,313,s05346.dyndns.org,,,RUA 21 DE ABRIL,EM FRENTE À ESCOLA ANTÔNIO FARIAS,RUA 21 DE ABRIL X EM FRENTE À ESCOLA ANTÔNIO FARIAS,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,,-8.072345,-34.925366,"-8.072345,-34.925366",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,7.013.709.879,3.182.034.982,25/12/2002
314,314,s05607.dyndns.org,,,AV. BEBERIBE,RUA EXPEDICIONÁRIO INÁCIO GOMES,AV. BEBERIBE X RUA EXPEDICIONÁRIO INÁCIO GOMES,BEBERIBE,GIT-SM 6 FASES,SERTTEL,2,,,-8.004794,-34.893625,"-8.004794,-34.893625",NÃO,,,,,2,,,,2,,,4,,,2,,2,,,,7.042.736.478,3.210.974.678,18/11/2002
